Id,Quantity,Recipe ingredient,Name [Food],Title [Recipe],Ingredients [Recipe],Origin [Recipe]
1, - ,2.0 filets huile d'olive,huile d'olive,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
2, - ,1.0 steak haché,steak haché,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
3, - ,70.0 grammes pâtes,pâtes,Steak haché et pâtes,"2.0  filets huile d'olive
1.0  steak haché
70.0  grammes pâtes",www.wecook.fr
4, - ,500 g de semoule moyenne,semoule,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
5, - ,500 g de tomate environ (ébouillantées pour oter la peau et en quartier),tomate,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
6, - ,1 concombre (épluché et en gros morceaux),concombre,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
7, - ,5 oignon (épeluchés et coupé en 4),oignon,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
8, - ,5 branche de persil et de menthe,persil,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
9, - ,Citron et autant d'huile,citron,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
10, - ,Poivre,poivre,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
11, - ,Sel,sel,Taboulé ultra-facile,"500 g de semoule moyenne 
500 g de tomate environ (ébouillantées pour oter la peau et en quartier)
1 concombre (épluché et en gros morceaux)
5 oignon (épeluchés et coupé en 4)
5 branche de persil et de menthe
Citron et autant d'huile
Poivre 
Sel ",www.marmiton.org
12, - ,Pain Bagel,bagel,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
13, - ,Carpaccio de boeuf,carpaccio de boeuf,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
14, - ,Fromage frais aux herbes,fromage frais aux herbes,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
15, - ,Roquette,roquette,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
16, - ,Tomates cerises,tomate cerise,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
17, - ,Huile d'olive,huile d'olive,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
18, - ,Sel,sel,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
19, - ,Poivre 5 baies,poivre,Beef Bagel,"Pain Bagel
Carpaccio de boeuf
Fromage frais aux herbes
Roquette
Tomates cerises
Huile d'olive
Sel
Poivre 5 baies",www.club-sandwich.net
20, - ,1.0  cuillère à soupe beurre,beurre,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
21, - ,2.0  oignon,oignon,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
22, - ,60.0  grammes crevette,crevette,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
23, - ,200.0  grammes poisson blanc,poisson blanc,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
24, - ,10.0  centilitres vin blanc,vin blanc,Poisson à l'indienne,"1.0  cuillère à soupe beurre
2.0  oignon
60.0  grammes crevette
200.0  grammes poisson blanc
10.0  centilitres vin blanc
120.0  grammes riz
1.0  ananas
3.0  cuillères à café curry",www.wecook.fr
