brand,description,image_url,origin,price,price_per_unit,promo_price,shelter_child,shelter_parent,url
,Viande bovine Rumsteak***  Bio  A rôtir - 750g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727629&use=l&cat=p&typeid=i,France,15.95 €,21.27 € / kg,15.95 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16506-Viande-bovine-Rumsteak-Bio-.aspx
,Viande bovine : Rôti** Charolaise - 750g,https://fd4-photos.leclercdrive.fr/image.ashx?id=744670&use=l&cat=p&typeid=i,France,13.38 €,17.84 € / kg,13.38 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-38900-Viande-bovine-Roti.aspx
,Viande bovine 1x rôti ** 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727617&use=l&cat=p&typeid=i,France,10.11 €,16.85 € / kg,10.11 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-7417-Viande-bovine-1x-roti-.aspx
,Viande bovine 2x bavette Aloyau *** à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727577&use=l&cat=p&typeid=i,France,6.64 €,23.71 € / kg,6.64 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26250-Viande-bovine-2x-bavette.aspx
Charal,Bavette d'Aloyau *** Charal 2x130g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1576869&use=l&cat=p&typeid=i,,6.90 €,26.54 € / kg,6.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-41359-Bavette-dAloyau-Charal.aspx
Férial,Bavette Viande bovine Férial  Aloyau ***à griller x2 - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1413075&use=l&cat=p&typeid=i,,5.54 €,19.79 € / kg,5.54 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-16824-Bavette-Viande-bovine-Ferial-.aspx
,Viande bovine Bio Entrecôte *** x2 - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1403433&use=l&cat=p&typeid=i,,10.56 €,31.06 € / kg,10.56 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-77956-Viande-bovine-Bio.aspx
,Viande bovine 2x entrecôte *** à griller - 340g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727561&use=l&cat=p&typeid=i,France,7.96 €,23.41 € / kg,7.96 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27053-Viande-bovine-2x-entrecote-.aspx
,Viande bovine Charolaise 2x entrecôte *** à griller 360g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727613&use=l&cat=p&typeid=i,France,9.80 €,27.22 € / kg,9.80 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26246-Viande-bovine-Charolaise.aspx
,Viande bovine 1x entrecôte*** Epaisse à griller - 300g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727593&use=l&cat=p&typeid=i,f'rance,6.99 €,23.30 € / kg,6.99 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26672-Viande-bovine-1x-entrecote.aspx
,Viande bovine 1x entrecôte *** à griller - 170g,https://fd4-photos.leclercdrive.fr/image.ashx?id=733337&use=l&cat=p&typeid=i,France,3.94 €,23.18 € / kg,3.94 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27052-Viande-bovine-1x-entrecote-.aspx
,Viande bovine 1x côte *** à griller - 600g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727545&use=l&cat=p&typeid=i,France,13.19 €,21.98 € / kg,13.19 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-27494-Viande-bovine-1x-cote-.aspx
,Viande bovine 2x pavé *** tournedos à griller - 280g,https://fd4-photos.leclercdrive.fr/image.ashx?id=727625&use=l&cat=p&typeid=i,France,5.66 €,20.21 € / kg,5.66 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-26671-Viande-bovine-2x-pave-.aspx
Charal,Viande Bovine Française Charal: Pavé aux 3 poivres x2 - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1577025&use=l&cat=p&typeid=i,,4.90 €,18.85 € / kg,4.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3917-Viande-Bovine-Francaise-Charal.aspx
Charal,Viande Bovine Française Charal: Pavé à l'échalote x2 - 260g,https://fd4-photos.leclercdrive.fr/image.ashx?id=1616895&use=l&cat=p&typeid=i,,4.90 €,18.85 € / kg,4.90 €,Viande bovine,Boucherie,https://fd4-courses.leclercdrive.fr/magasin-127811-Bois-dArcy/fiche-produits-3918-Viande-Bovine-Francaise-Charal.aspx
